city, report_records
基隆市, 0
臺北市, 0
新北市, 74
宜蘭縣, 108
新竹市, 7
新竹縣, 145
桃園市, 236
苗栗縣, 75
臺中市, 483
彰化縣, 778
南投縣, 43
嘉義市, 4
嘉義縣, 101
雲林縣, 47
臺南市, 259
高雄市, 151
屏東縣, 111
臺東縣, 10
花蓮縣, 94
金門縣, 0
連江縣, 0
澎湖縣, 0
