city, report_records
基隆市, 0
臺北市, 0
新北市, 103
宜蘭縣, 145
新竹市, 12
新竹縣, 215
桃園市, 440
苗栗縣, 97
臺中市, 700
彰化縣, 1499
南投縣, 72
嘉義市, 7
嘉義縣, 138
雲林縣, 120
臺南市, 466
高雄市, 242
屏東縣, 196
臺東縣, 10
花蓮縣, 95
金門縣, 0
連江縣, 0
澎湖縣, 0
