city, report_records
基隆市, 0
臺北市, 0
新北市, 77
宜蘭縣, 109
新竹市, 9
新竹縣, 149
桃園市, 274
苗栗縣, 75
臺中市, 515
彰化縣, 818
南投縣, 44
嘉義市, 4
嘉義縣, 101
雲林縣, 48
臺南市, 274
高雄市, 160
屏東縣, 111
臺東縣, 10
花蓮縣, 94
金門縣, 0
連江縣, 0
澎湖縣, 0
