city, report_records
基隆市, 0
臺北市, 0
新北市, 74
宜蘭縣, 106
新竹市, 7
新竹縣, 145
桃園市, 236
苗栗縣, 75
臺中市, 481
彰化縣, 776
南投縣, 43
嘉義市, 4
嘉義縣, 101
雲林縣, 45
臺南市, 258
高雄市, 151
屏東縣, 111
臺東縣, 10
花蓮縣, 94
金門縣, 0
連江縣, 0
澎湖縣, 0
